model,acc_train,acc_test,precision_train,precision_test,recall_train,recall_test,f1_train,f1_test,roc_auc_test,feature_set
LinearSVC,0.9900422450211225,0.9047044632086851,0.9901129492713946,0.9074308407896425,0.9900422450211225,0.9047044632086851,0.9900375931966138,0.9042265654495718,0.9728097559834906,CHI2 top-20000
LogisticRegression,0.9459867229933615,0.8866103739445115,0.9474470704629052,0.8910717308476174,0.9459867229933615,0.8866103739445115,0.9458247417572154,0.885781861087865,0.9664316531621594,CHI2 top-20000
RandomForest,0.9812914906457453,0.8805790108564535,0.9818834675115273,0.8864614577169003,0.9812914906457453,0.8805790108564535,0.9812624577293091,0.8795088684946084,0.9615706151273867,CHI2 top-20000
MultinomialNB,0.9176222088111045,0.8661037394451147,0.9207527182999848,0.8746789839582332,0.9176222088111045,0.8661037394451147,0.9171862709387874,0.8644759315487505,0.9557040466753188,CHI2 top-20000
DecisionTree,0.9695232347616174,0.8600723763570567,0.9709086819103382,0.8617709702757047,0.9695232347616174,0.8600723763570567,0.9694411998077729,0.8594490751306192,0.870070270207069,CHI2 top-20000
LinearSVC,0.9939649969824985,0.9010856453558505,0.9939806313732981,0.9030091437141884,0.9939649969824985,0.9010856453558505,0.9939637158498149,0.9006804829196616,0.9728448326259542,FULL TF-IDF
LogisticRegression,0.9604707302353651,0.8950542822677925,0.9614034189082153,0.9008411878221114,0.9604707302353651,0.8950542822677925,0.9603844313979406,0.8941651026653207,0.9681854852853485,FULL TF-IDF
RandomForest,0.9824984912492456,0.8685162846803377,0.9830152130680092,0.8771853100760496,0.9824984912492456,0.8685162846803377,0.9824735067748691,0.8669178066559804,0.9580424895062377,FULL TF-IDF
MultinomialNB,0.9236572118286059,0.8661037394451147,0.9271603855661332,0.875875598340477,0.9236572118286059,0.8661037394451147,0.9232304715746035,0.8643195595326616,0.9549265144340384,FULL TF-IDF
DecisionTree,0.9731442365721182,0.8588661037394452,0.9742011086262569,0.8609399716581697,0.9731442365721182,0.8588661037394452,0.9730837156013372,0.8581583311088596,0.859330971506074,FULL TF-IDF
LinearSVC,0.9257694628847315,0.8950542822677925,0.9265319690832687,0.8983199984189497,0.9257694628847315,0.8950542822677925,0.9256047998392084,0.8944450623349082,0.9646661288248156,SVD 300
LogisticRegression,0.9106819553409776,0.8866103739445115,0.9134925096043492,0.8914993705853342,0.9106819553409776,0.8866103739445115,0.9102309878672878,0.8857300405350812,0.9605153927999345,SVD 300
RandomForest,0.9987929993964997,0.8805790108564535,0.998793631410296,0.8859923680803032,0.9987929993964997,0.8805790108564535,0.9987929499347822,0.8795671857915717,0.9598021677365043,SVD 300
DecisionTree,0.9987929993964997,0.8323281061519904,0.9987929993964997,0.8333758472054301,0.9987929993964997,0.8323281061519904,0.9987929993964997,0.8316705838211668,0.8288464461515077,SVD 300
